published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-06-04,2026-06-29,CRM,Salesforce Stock: Buy the Underrated AI Company Now as Pessimism Peaks - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxPSWRDQlkzUDVPdUZHaC1XNWpzaVc0d0MybVNuTkw5c09YNmdmeUhYQ0lia1BNRmRBSU0ySEMzcWhvM3k3SUMxcnZ1Yk04dHRFRE1TZnhSX0lfc0lyMy1vQnJGWDQ1UUFWT1NIbDFySjIzLXAtaUh4Zlhvb3F0ZkJ4UTFsQUFYanlaMFQyeFFybXdpTVNHZzBGYVExamd5M250?oc=5,-0.3612,negative
2026-06-11,2026-06-30,CRM,"Salesforce's AI Business Is Growing More Than 200%, but the Stock Is Near a 52-Week Low. Something Has to Give. - The Motley Fool",The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxPRUo0RlZBZVVxUDFiM1ZlZk4tRGFuczFfbGxyaURRRU5Od1l6NzJaZXJCTURsRlBlTGdaQUluUXNYcE9tWEdVbGhNLVZqTHJVN2VXSXlZSlVwNGJsWTNkWFRBYnd1NERQeDZ6OUkwazlsUGpYaUFaMTIyaUFIT0ZnR1dsYUlvX2k2a2RWWi1IeEhKcDA4eDA4YQ?oc=5,-0.7311,negative
2026-06-12,2026-06-29,CRM,"Salesforce, Inc. (CRM) Is a Trending Stock: Facts to Know Before Betting on It - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxNNXMyMVFJWmNLZ05FaWRQTFRDSWtDdmNENVdfcXFEdDNKdDlyUzF5Z1BMdFFMaUkwQkFvSXNFM2pHdDdDRXUwMWUwb21UY2V5TU9RNmdyMWxzRXFFOHZZY0ZlUlNDT1VlTVVnc0lYWWVLOFVSZEVoUzlMRXFsdVRrMkVjdml0eTd0YjVNbFlNazRteGFJMEpwSkR5Q1NicGM?oc=5,0.0,neutral
2026-06-13,2026-06-24,CRM,The Billionaire Move Nobody Saw Coming: Why Starboard Value Abandoned CRM For These 2 Stocks - 24/7 Wall St.,24/7 Wall St.,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcURBX2NVQjF0OFNKa2dBY3doTjhhT0VQdkxYTlRwb18tVjRzeExtMUZjUF92NDRHdzB1aHlhQlNVNWFCakNWbnlnX2R4OERTRHp6LTc4Qnd2MkQ5bWxhUzZYeDRGS2xoQXBKUmZsdXhRR1gyNFNoZGxqWDdPdFpUUXVMUTF6WGxVczlHRHIwR1o4NFItYkRvYTZMZWxBb0tnMkk3dUdkcHkzS2lnaVJ4RDJlSVhzU1dSb0VTYmpZUXBqMWNZcXZxSllxN2ZoUERJ?oc=5,-0.1531,negative
2026-06-13,2026-07-01,CRM,"Is Salesforce, Inc. (CRM) A Good Stock To Buy Now? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxNS25abWdIdlFPSnRYYXNKMWwxMERPQUFaVEcwOWNZUHlrUlphc0ZjWnBTVmV4Rml5bDNVbUpZQmFLRU9tbnZDNVk0RVVNU28wSWlua21jejFJNjk0YWpfM3ZMUjlMbjdhWHJZNG1MYWgxRjAydi1nTWRnLVpEZ1BPQ0ozMU9fVXBBYjhOODVNdzk2UHk5YVpTOXBn?oc=5,0.4404,positive
2026-06-15,2026-06-26,CRM,Salesforce Is Consuming Everything Between AI And Itself (NYSE:CRM) - Seeking Alpha,Seeking Alpha,https://news.google.com/rss/articles/CBMingFBVV95cUxQYTRBU0kzMXpEUldESHVkNFBhWGJVd3J0Q2p5a180QThMZEhvQmNMcGx1OWl2SHlWT1BOWklDNTNDOEpkbEtqbWhIeThseEFDNDdzcU1lZWFDVTdFU1R2YjBrRVlBQVZGZmplX1M5NkFyUi16VGl0dGw4M3hPRGxsUU85V3p0dHh1MU9PQndLTWNDZWJ4RFphSFBwM2JxQQ?oc=5,0.0,neutral
2026-06-16,2026-06-24,CRM,This Analyst Believes Salesforce (CRM) Stock Is Trading At A 52% Discount - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMipAFBVV95cUxOTnc0QldTSWRPNWpnSnl5cW1adUNBRjllQlM2dHVTWUJ0YU43djFHQkdRaFAtV3ktUXNsckVpUF96bFA4UkxOVGp2V2NSYUpvR1p5UzFPemZpLWZDbnVMZ1lmQllIUG5FV2h6aWw5ZHg3OWxuM0kzbEFUdGxOdWdtY0xLS1F4a05PdjVkQTZCN0Fndnd6Z192WFhPZWI4elBxck5VdQ?oc=5,0.0,neutral
2026-06-16,2026-06-24,CRM,Salesforce (CRM) Stock Sees Fair Value Cut As Analysts Question AI Growth Path - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxPZUpURjhnZW14WmRFTnA4X2h4amxTOF9RMnMyTGNBTTR1SVZKS2k3eGFZV0E5VmduZUJVejFFMlJjREdxVEllUVNPTnEteFNTd19reDB0ZDRNWWRHbFlqSlR5THZJbFByejhNRWF1a2RNX25fbnN5bnFyS0VTWEVVb3ZHVFhacGQyRDRuS0hlNVk3aVFkSS1VZjV0SQ?oc=5,0.6369,positive
2026-06-16,2026-06-29,CRM,UBS maintains Salesforce stock rating after $3.6 billion Fin deal - Investing.com,Investing.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNeVhfQWtncllFNVJiUHhpb3ZDUVQxdktBbms4MjFObTFROE1UTllIN2w4ZldVMFdYUnhKNVlOZGdWWXpUNGtMTnplVzhIazI0bTMwZHFaSk5BdDd0QVJmemR4aDRMQ2hVWW1fZHB4R05kRnVHc1VFY3g0MUlYSGFpME5Oc3Ata19VVndRLTZRTTVDRnI2aDBWeEtXeVI1Nl9wbi1OMnZGemJFalFPSVZSYTNDdTQtYTU4MlRGTnotdzQ?oc=5,0.0,neutral
2026-06-16,2026-06-30,CRM,Salesforce makes gutsy bet to win AI agent race - thestreet.com,thestreet.com,https://news.google.com/rss/articles/CBMieEFVX3lxTE1rOURucjNMWlNJZGJGc0NQaEhxOU1JVlEweURiRXY5SlpJUzV3S053THpVSDU5MG1LQ2dERG90eTlLdTU3ZnBLV0VXS0JXbl9tQ3J1U2NkWUlDUU1OWVNqVFU3T2JjX1dOSHhEYzZzSU40UGhRYWVjSQ?oc=5,0.5859,positive
