timestamp,equity,benchmark_equity
2026-06-24T14:57:34.477352+00:00,499.6535,500.0
2026-06-24T15:46:09.347564+00:00,500.7262,499.5095
2026-06-24T21:08:37.998954+00:00,497.3755,496.0693
2026-06-24T22:41:34.813053+00:00,497.3755,496.0693
2026-06-25T22:49:16.988239+00:00,489.3982,496.7864
2026-06-26T22:38:32.933125+00:00,500.0731,493.194
2026-06-29T22:33:31.547843+00:00,497.2219,501.3193
2026-06-30T22:42:40.101786+00:00,494.6091,505.2229
2026-07-01T22:42:46.493947+00:00,503.9429,504.5396
2026-07-02T22:29:26.141874+00:00,517.8883,503.8766
2026-07-03T22:18:00.883149+00:00,517.8883,503.8766
