timestamp,action,ticker,shares,price,value
2026-07-24T22:29:49.687934+00:00,SELL,NFLX,1.3667,70.09,95.79
2026-07-24T22:29:49.687934+00:00,SELL,XOM,0.7289,156.94,114.39
2026-07-24T22:29:49.687934+00:00,SELL,CRM,0.6405,163.66,104.82
2026-07-24T22:29:49.687934+00:00,SELL,AAPL,0.3334,333.02,111.03
2026-07-24T22:29:49.687934+00:00,SELL,CVX,0.5785,194.79,112.69
2026-07-24T22:29:49.687934+00:00,BUY,ORCL,0.9357,114.99,107.6
2026-07-24T22:29:49.687934+00:00,BUY,GOOGL,0.3365,319.74,107.59
2026-07-24T22:29:49.687934+00:00,BUY,DIS,1.1343,94.85,107.59
2026-07-24T22:29:49.687934+00:00,BUY,PEP,0.7874,136.64,107.59
2026-07-24T22:29:49.687934+00:00,BUY,HD,0.3231,332.98,107.59
2026-08-24T21:46:36.587301+00:00,SELL,GOOGL,0.3365,348.06,117.12
2026-08-24T21:46:36.587301+00:00,SELL,DIS,1.1343,110.61,125.46
2026-08-24T21:46:36.587301+00:00,SELL,PEP,0.7874,144.67,113.91
2026-08-24T21:46:36.587301+00:00,SELL,HD,0.3231,337.43,109.02
2026-08-24T21:46:36.587301+00:00,BUY,MSFT,0.2452,487.31,119.49
2026-08-24T21:46:36.587301+00:00,SELL,ORCL,0.0968,142.45,13.79
2026-08-24T21:46:36.587301+00:00,BUY,META,0.2138,559.02,119.52
2026-08-24T21:46:36.587301+00:00,BUY,CRM,0.5716,209.06,119.5
2026-08-24T21:46:36.587301+00:00,BUY,MRK,0.7931,150.66,119.49
